############
DateTime: 20150416_074716; message Connection timed out: connect
############
DateTime: 20150416_074737; message Connection timed out: connect
############
DateTime: 20150416_074758; message Connection timed out: connect
############
DateTime: 20150416_074819; message Connection timed out: connect
############
DateTime: 20150416_074840; message Connection timed out: connect
############
DateTime: 20150416_074901; message Connection timed out: connect
############
DateTime: 20150416_074922; message Connection timed out: connect
############
DateTime: 20150416_075009; message MatView Load Duration 120834410, 120.83441 ms
############
DateTime: 20150416_075009; message Query ######### SSB Q1.1 (1) rewriting duration 7836006, 7.836006 ms
############
DateTime: 20150416_075009; message Query ######### SSB Q1.2 (2) rewriting duration 4099952, 4.099952 ms
############
DateTime: 20150416_075009; message Query ######### SSB Q1.3 (3) rewriting duration 5275032, 5.275032 ms
############
DateTime: 20150416_075009; message Query ######### SSB Q2.1 (4) rewriting duration 13686604, 13.686604 ms
############
DateTime: 20150416_075021; message MatView Load Duration 129394364, 129.394364 ms
############
DateTime: 20150416_075021; message Query ######### SSB Q1.1 (1) rewriting duration 7759035, 7.759035 ms
############
DateTime: 20150416_075021; message Query ######### SSB Q1.2 (2) rewriting duration 4169225, 4.169225 ms
############
DateTime: 20150416_075021; message Query ######### SSB Q1.3 (3) rewriting duration 4133306, 4.133306 ms
############
DateTime: 20150416_075021; message Query ######### SSB Q2.1 (4) rewriting duration 12498268, 12.498268 ms
############
DateTime: 20150416_075031; message Connection timed out: connect
############
DateTime: 20150416_075031; message Query #########  SSB Q2.2 (5) rewriting duration 21750527, 21.750527 ms
############
DateTime: 20150416_075042; message Connection timed out: connect
############
DateTime: 20150416_075042; message Query #########  SSB Q2.2 (5) rewriting duration 23930070, 23.93007 ms
############
DateTime: 20150416_075052; message Connection timed out: connect
############
DateTime: 20150416_075052; message Query #########  SSB Q2.3 (6) rewriting duration 16832980, 16.83298 ms
############
DateTime: 20150416_075103; message Connection timed out: connect
############
DateTime: 20150416_075103; message Query #########  SSB Q2.3 (6) rewriting duration 21354130, 21.35413 ms
############
DateTime: 20150416_075113; message Connection timed out: connect
############
DateTime: 20150416_075113; message Query ######### SSB Q3.1 (7) rewriting duration 20603670, 20.60367 ms
############
DateTime: 20150416_075124; message Connection timed out: connect
############
DateTime: 20150416_075124; message Query ######### SSB Q3.1 (7) rewriting duration 24235813, 24.235813 ms
############
DateTime: 20150416_075134; message Connection timed out: connect
############
DateTime: 20150416_075134; message Query ########### SSB Q3.2 (8) rewriting duration 17728401, 17.728401 ms
############
DateTime: 20150416_075145; message Connection timed out: connect
############
DateTime: 20150416_075145; message Query ########### SSB Q3.2 (8) rewriting duration 17052772, 17.052772 ms
############
DateTime: 20150416_075155; message Connection timed out: connect
############
DateTime: 20150416_075155; message Query ########### SSB Q3.3 (9) rewriting duration 18167987, 18.167987 ms
############
DateTime: 20150416_075206; message Connection timed out: connect
############
DateTime: 20150416_075206; message Query ########### SSB Q3.3 (9) rewriting duration 17409829, 17.409829 ms
############
DateTime: 20150416_075216; message Connection timed out: connect
############
DateTime: 20150416_075216; message Query ########### SSB Q3.4 (10) rewriting duration 13052454, 13.052454 ms
############
DateTime: 20150416_075216; message Query ########### SSB Q4.1 (11) rewriting duration 8831488, 8.831488 ms
############
DateTime: 20150416_075216; message Query ############# SSB Q4.2 (12) rewriting duration 12846772, 12.846772 ms
############
DateTime: 20150416_075227; message Connection timed out: connect
############
DateTime: 20150416_075227; message Query ########### SSB Q3.4 (10) rewriting duration 12413600, 12.4136 ms
############
